TrialCode,Year,yield,grain_size,grain_no,estimatedVPD,sw_stress,sw_supply,sw_demand
trial_1000,2017,1.2759,0.032,3942.933,221.574,114.4812863,239.72,137.791
trial_1001,2017,1.4199,0.027,5237.991,189.93,143.4912689,141.363,104.257
trial_1002,2017,1.6088,0.025,6522.304,232.746,176.2225345,457.61,124.881
trial_1005,2017,1.3862,0.023,6049.752,228.589,145.9941039,436.405,155.649
trial_1006,2017,3.9785,0.036,11195.37,206.399,143.0013872,463.541,344.618
trial_1007,2017,1.3358,0.041,3258.028,184.619,164.0,673.489,53.243
trial_1008,2017,4.8699,0.039,12531.05,214.701,187.87839,888.028,271.903
trial_1009,2017,3.3266,0.037,8879.881,191.266,168.3732612,568.264,199.119
trial_1011,2017,3.2157,0.035,9255.672,209.984,164.1526654,495.294,199.166
trial_1012,2017,3.6516,0.041,8906.283,168.568,147.2596543,542.337,278.5
trial_1013,2017,4.1944,0.035,11949.35,205.388,187.5860746,830.315,239.131
trial_1014,2017,3.8122,0.033,11485.94,193.743,195.8494596,920.519,218.962
